threshold,val_human_fpr,test_human_fpr,test_macro_recall,test_macro_precision,test_f1,test_tp,test_fp,test_tn,test_fn
0.6033756447848087,0.043478260869565216,0.02608695652173913,0.2647058823529412,0.96,0.414985590778098,72,3,112,200
0.6053782389733796,0.043478260869565216,0.02608695652173913,0.2610294117647059,0.9594594594594594,0.41040462427745666,71,3,112,201
0.6071616172862665,0.043478260869565216,0.02608695652173913,0.25735294117647056,0.958904109589041,0.4057971014492754,70,3,112,202
0.6084209952447315,0.043478260869565216,0.02608695652173913,0.2536764705882353,0.9583333333333334,0.4011627906976744,69,3,112,203
0.6088328670828281,0.043478260869565216,0.02608695652173913,0.25,0.9577464788732394,0.3965014577259475,68,3,112,204
0.6093640466062157,0.043478260869565216,0.02608695652173913,0.24632352941176472,0.9571428571428572,0.391812865497076,67,3,112,205
0.60950206242572,0.043478260869565216,0.02608695652173913,0.2426470588235294,0.9565217391304348,0.3870967741935484,66,3,112,206
0.6096173860331472,0.043478260869565216,0.02608695652173913,0.23897058823529413,0.9558823529411765,0.38235294117647056,65,3,112,207
0.614859718660324,0.043478260869565216,0.02608695652173913,0.23529411764705882,0.9552238805970149,0.3775811209439528,64,3,112,208
0.6180785248828559,0.034782608695652174,0.02608695652173913,0.23161764705882354,0.9545454545454546,0.3727810650887574,63,3,112,209
0.6187505987845028,0.034782608695652174,0.02608695652173913,0.22794117647058823,0.9538461538461539,0.36795252225519287,62,3,112,210
0.6191856202970586,0.034782608695652174,0.02608695652173913,0.22426470588235295,0.953125,0.3630952380952381,61,3,112,211
0.6197762595675421,0.034782608695652174,0.02608695652173913,0.22058823529411764,0.9523809523809523,0.3582089552238806,60,3,112,212
0.6199161019275425,0.034782608695652174,0.02608695652173913,0.21691176470588236,0.9516129032258065,0.3532934131736527,59,3,112,213
0.6206030108046503,0.034782608695652174,0.02608695652173913,0.21323529411764705,0.9508196721311475,0.3483483483483483,58,3,112,214
0.6206753196437145,0.034782608695652174,0.02608695652173913,0.20955882352941177,0.95,0.3433734939759036,57,3,112,215
0.6213348550372725,0.034782608695652174,0.02608695652173913,0.20588235294117646,0.9491525423728814,0.338368580060423,56,3,112,216
0.6222092371259049,0.034782608695652174,0.02608695652173913,0.20220588235294118,0.9482758620689655,0.3333333333333333,55,3,112,217
0.5565259022961114,0.06086956521739131,0.034782608695652174,0.5220588235294118,0.9726027397260274,0.6794258373205742,142,4,111,130
0.556567198400392,0.06086956521739131,0.034782608695652174,0.5183823529411765,0.9724137931034482,0.6762589928057554,141,4,111,131
0.5574869513672812,0.06086956521739131,0.034782608695652174,0.5147058823529411,0.9722222222222222,0.6730769230769231,140,4,111,132
0.5578460535809046,0.06086956521739131,0.034782608695652174,0.5110294117647058,0.972027972027972,0.6698795180722892,139,4,111,133
0.5579593305621875,0.06086956521739131,0.034782608695652174,0.5073529411764706,0.971830985915493,0.6666666666666666,138,4,111,134
0.5579954626333707,0.06086956521739131,0.034782608695652174,0.5036764705882353,0.9716312056737588,0.6634382566585957,137,4,111,135
0.5504064235222821,0.06086956521739131,0.043478260869565216,0.5698529411764706,0.96875,0.7175925925925926,155,5,110,117
0.5510648530098046,0.06086956521739131,0.043478260869565216,0.5661764705882353,0.9685534591194969,0.7146171693735499,154,5,110,118
0.5516612188789307,0.06086956521739131,0.043478260869565216,0.5625,0.9683544303797469,0.7116279069767442,153,5,110,119
0.551748895301284,0.06086956521739131,0.043478260869565216,0.5588235294117647,0.9681528662420382,0.7086247086247086,152,5,110,120
0.5520148007752336,0.06086956521739131,0.043478260869565216,0.5551470588235294,0.967948717948718,0.705607476635514,151,5,110,121
0.5520779906735478,0.06086956521739131,0.043478260869565216,0.5514705882352942,0.967741935483871,0.702576112412178,150,5,110,122
0.5521201004679909,0.06086956521739131,0.043478260869565216,0.5477941176470589,0.9675324675324676,0.6995305164319249,149,5,110,123
0.552598089809409,0.06086956521739131,0.043478260869565216,0.5441176470588235,0.9673202614379085,0.6964705882352941,148,5,110,124
0.5532342152287529,0.06086956521739131,0.043478260869565216,0.5404411764705882,0.9671052631578947,0.6933962264150944,147,5,110,125
0.5534188695634558,0.06086956521739131,0.043478260869565216,0.5367647058823529,0.9668874172185431,0.6903073286052009,146,5,110,126
0.5535854475055392,0.06086956521739131,0.043478260869565216,0.5330882352941176,0.9666666666666667,0.6872037914691943,145,5,110,127
0.5558911314130601,0.06086956521739131,0.043478260869565216,0.5294117647058824,0.9664429530201343,0.684085510688836,144,5,110,128
0.5558926198774654,0.06086956521739131,0.043478260869565216,0.5257352941176471,0.9662162162162162,0.680952380952381,143,5,110,129
0.5563474574644123,0.06086956521739131,0.043478260869565216,0.5220588235294118,0.9659863945578231,0.6778042959427207,142,5,110,130
