browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_dn9zpv_success.json,flow_20260213_dn9zpv,allow,0.20040413,0.00000000,0.50101032,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dskz6v_success.json,flow_20260213_dskz6v,allow,0.27591959,0.00000000,0.68979898,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dsq4vf_success.json,flow_20260213_dsq4vf,challenge,0.31426383,0.00000000,0.78565957,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dsrgzz_success.json,flow_20260213_dsrgzz,allow,0.26306312,0.00000000,0.65765781,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_dsz78x_success.json,flow_20260213_dsz78x,allow,0.27622766,0.00000000,0.69056916,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_e0buqw_success.json,flow_20260213_e0buqw,allow,0.25540873,0.00000000,0.63852183,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_e0d3x2_success.json,flow_20260213_e0d3x2,allow,0.27833427,0.00000000,0.69583567,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_e0s9c7_success.json,flow_20260213_e0s9c7,allow,0.28553096,0.00000000,0.71382741,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_e9y7zx_success.json,flow_20260213_e9y7zx,allow,0.24987980,0.00000000,0.62469950,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ed6l75_success.json,flow_20260213_ed6l75,allow,0.25334641,0.00000000,0.63336603,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_edy7lf_success.json,flow_20260213_edy7lf,allow,0.21379868,0.00000000,0.53449669,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_egsd9g_success.json,flow_20260213_egsd9g,allow,0.25974372,0.00000000,0.64935930,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ehfb35_success.json,flow_20260213_ehfb35,allow,0.28173405,0.00000000,0.70433513,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ert0q2_success.json,flow_20260213_ert0q2,allow,0.29213931,0.00000000,0.73034827,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_f0jffr_success.json,flow_20260213_f0jffr,allow,0.29944275,0.00000000,0.74860686,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_f7htod_success.json,flow_20260213_f7htod,allow,0.27174482,0.00000000,0.67936206,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_f9d88h_success.json,flow_20260213_f9d88h,allow,0.28892860,0.00000000,0.72232151,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fbczse_success.json,flow_20260213_fbczse,allow,0.22196251,0.00000000,0.55490626,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fdlsxw_success.json,flow_20260213_fdlsxw,allow,0.28814651,0.00000000,0.72036628,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fo2pb3_success.json,flow_20260213_fo2pb3,allow,0.26042719,0.00000000,0.65106797,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fssxfu_success.json,flow_20260213_fssxfu,allow,0.25748859,0.00000000,0.64372147,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fwup7y_success.json,flow_20260213_fwup7y,allow,0.21782852,0.00000000,0.54457130,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_fzp65w_success.json,flow_20260213_fzp65w,allow,0.25853803,0.00000000,0.64634507,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_g1n5zr_success.json,flow_20260213_g1n5zr,allow,0.27580957,0.00000000,0.68952394,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_gcw9uf_success.json,flow_20260213_gcw9uf,allow,0.25351052,0.00000000,0.63377630,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_ggp2xe_success.json,flow_20260213_ggp2xe,allow,0.22554134,0.00000000,0.56385334,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_gim0rq_success.json,flow_20260213_gim0rq,allow,0.26989628,0.00000000,0.67474071,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_gwekyz_success.json,flow_20260213_gwekyz,allow,0.29322060,0.00000000,0.73305150,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_h3hfhk_success.json,flow_20260213_h3hfhk,allow,0.28202733,0.00000000,0.70506832,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_h4aeyd_success.json,flow_20260213_h4aeyd,allow,0.25203997,0.00000000,0.63009993,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_h582xf_success.json,flow_20260213_h582xf,allow,0.29346185,0.00000000,0.73365463,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_hcg47d_success.json,flow_20260213_hcg47d,allow,0.28031701,0.00000000,0.70079252,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_hrztyw_success.json,flow_20260213_hrztyw,allow,0.26542484,0.00000000,0.66356210,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_i20vkh_success.json,flow_20260213_i20vkh,allow,0.22726485,0.00000000,0.56816213,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_i869r8_success.json,flow_20260213_i869r8,allow,0.22510157,0.00000000,0.56275393,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_iv37of_success.json,flow_20260213_iv37of,allow,0.21583961,0.00000000,0.53959903,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_j3bk1h_success.json,flow_20260213_j3bk1h,challenge,0.31407429,0.00000000,0.78518573,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_jb97un_success.json,flow_20260213_jb97un,allow,0.26600596,0.00000000,0.66501490,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_jgz3iz_success.json,flow_20260213_jgz3iz,allow,0.25554917,0.00000000,0.63887293,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_jhkjz0_success.json,flow_20260213_jhkjz0,allow,0.25758014,0.00000000,0.64395035,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_jthxk3_success.json,flow_20260213_jthxk3,allow,0.21900234,0.00000000,0.54750586,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_k05qqr_success.json,flow_20260213_k05qqr,allow,0.26438610,0.00000000,0.66096526,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_kkta2p_success.json,flow_20260213_kkta2p,allow,0.23178792,0.00000000,0.57946980,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_kmag62_success.json,flow_20260213_kmag62,allow,0.22911020,0.00000000,0.57277551,0.00000000,
